id,userId,projectId,role,createdAt,updatedAt
2,1,10,Owner,2026-04-11T06:39:55.310Z,2026-04-11T06:39:55.310Z
4,1,1,Owner,2026-04-11T11:52:19.881Z,2026-04-11T11:52:19.881Z
5,1,2,Owner,2026-04-11T11:52:19.888Z,2026-04-11T11:52:19.888Z
6,5,6,Owner,2026-04-11T11:52:19.890Z,2026-04-11T11:52:19.890Z
7,1,5,Owner,2026-04-11T11:52:19.892Z,2026-04-11T11:52:19.892Z
8,5,7,Owner,2026-04-11T11:52:19.894Z,2026-04-11T11:52:19.894Z
9,1,4,Owner,2026-04-11T11:52:19.897Z,2026-04-11T11:52:19.897Z
10,1,8,Owner,2026-04-11T11:52:19.899Z,2026-04-11T11:52:19.899Z
11,1,9,Owner,2026-04-11T11:52:19.901Z,2026-04-11T11:52:19.901Z
